sensor,x,y
478,176.8302764893,-360.2142944336
479,177.6354827881,-359.5881347656
480,178.4377899170,-358.9582519531
481,179.2371215820,-358.3246154785
482,180.0334625244,-357.6872253418
483,180.8267364502,-357.0460510254
484,181.6169433594,-356.4010620117
485,182.4039764404,-355.7522277832
486,183.1878204346,-355.0995483398
487,183.9684295654,-354.4429931641
488,184.7457275391,-353.7825317383
489,185.5196838379,-353.1181945801
490,186.2902679443,-352.4498901367
491,187.0573883057,-351.7776489258
492,187.8210296631,-351.1014709473
493,188.5811157227,-350.4212951660
494,189.3376007080,-349.7371215820
495,190.0904388428,-349.0489196777
496,190.8395690918,-348.3567199707
497,191.5849304199,-347.6604614258
498,192.3264923096,-346.9601745605
499,193.0641937256,-346.2557678223
500,193.7979583740,-345.5473327637
501,194.5277557373,-344.8347778320
502,195.2535095215,-344.1181335449
503,195.9753570557,-343.3975219727
504,196.6936187744,-342.6733703613
505,197.4087677002,-341.9461059570
506,198.1212158203,-341.2162170410
507,198.8314361572,-340.4841308594
508,199.5398254395,-339.7503051758
509,200.2468719482,-339.0151062012
510,200.9529876709,-338.2790832520
511,201.6586608887,-337.5425720215
512,202.3643035889,-336.8060607910
513,203.0703887939,-336.0699157715
514,203.7773895264,-335.3346862793
515,204.4857025146,-334.6007080078
516,205.1958312988,-333.8684692383
517,205.9081878662,-333.1383666992
518,206.6232299805,-332.4108886719
519,207.3414154053,-331.6865234375
520,208.0631561279,-330.9656982422
521,208.7888946533,-330.2488403320
522,209.5190429688,-329.5364990234
523,210.2540435791,-328.8291320801
524,210.9942779541,-328.1272583008
525,211.7401733398,-327.4313659668
526,212.4920806885,-326.7419738770
527,213.2503967285,-326.0596618652
528,214.0154571533,-325.3848876953
529,214.7876434326,-324.7182312012
530,215.5670623779,-324.0600891113
531,216.3534545898,-323.4102783203
532,217.1463928223,-322.7685241699
533,217.9455413818,-322.1345214844
534,218.7505035400,-321.5079040527
535,219.5609436035,-320.8884277344
536,220.3765258789,-320.2757263184
537,221.1968994141,-319.6694641113
538,222.0217437744,-319.0693359375
539,222.8507385254,-318.4749450684
540,223.6835784912,-317.8859863281
541,224.5199584961,-317.3020629883
542,225.3596191406,-316.7228698730
543,226.2022399902,-316.1480102539
544,227.0475616455,-315.5771179199
545,227.8952941895,-315.0098571777
546,228.7452087402,-314.4458312988
547,229.5970306396,-313.8847045898
548,230.4504699707,-313.3261108398
549,231.3053436279,-312.7696533203
550,232.1613616943,-312.2149963379
551,233.0182800293,-311.6617431641
552,233.8758697510,-311.1094970703
553,234.7339019775,-310.5579833984
554,235.5921325684,-310.0067443848
555,236.4503021240,-309.4554443359
556,237.3081970215,-308.9036865234
557,238.1655578613,-308.3511352539
558,239.0221710205,-307.7974243164
559,239.8777618408,-307.2421264648
560,240.7321014404,-306.6849060059
561,241.5849609375,-306.1253967285
562,242.4360504150,-305.5632629395
563,243.2851562500,-304.9980163574
564,244.1319580078,-304.4294128418
565,244.9762268066,-303.8570251465
566,245.8176879883,-303.2805175781
567,246.6560363770,-302.6994628906
568,247.4909973145,-302.1135864258
569,248.3222808838,-301.5224609375
570,249.1495513916,-300.9257202148
571,249.9725189209,-300.3230895996
572,250.7908477783,-299.7141418457
573,251.6042022705,-299.0985717773
574,252.4122467041,-298.4759826660
575,253.2145996094,-297.8461303711
576,254.0109252930,-297.2086486816
577,254.8008422852,-296.5632324219
578,255.5839538574,-295.9095458984
579,256.3598632812,-295.2473449707
580,257.1282043457,-294.5763244629
581,257.8885192871,-293.8962707520
582,258.6408081055,-293.2073364258
583,259.3851318359,-292.5097656250
584,260.1214904785,-291.8037719727
585,260.8499450684,-291.0896911621
586,261.5705566406,-290.3676757812
587,262.2834777832,-289.6380310059
588,262.9887084961,-288.9009399414
589,263.6863403320,-288.1567077637
590,264.3764953613,-287.4055175781
591,265.0592651367,-286.6476135254
592,265.7347717285,-285.8832092285
593,266.4031066895,-285.1125183105
594,267.0643920898,-284.3357849121
