sensor,t11,t12,t21,t22,t31,t32,t41,t42,t51,t52,t61,t62
117,0.24184,0.22944,0.12288,0.09736,0.09568,0.10368,0.6368,0.78736,0.39784,0.34872,0.166,0.28712
118,0.26368,0.22688,0.12768,0.10248,0.09608,0.10376,0.26952,0.76784,0.04704,0.34872,0.16584,0.28712
119,0.27944,0.24064,0.12432,0.10256,0.098,0.10784,0.03608,0.12456,0.04088,0.39576,0.16336,0.29352
120,0.262,0.23192,0.13176,0.1024,0.09984,0.10328,0.30208,0.11616,0.19128,0.28912,0.16744,0.29008
121,0.26224,0.2256,0.13232,0.10176,0.10096,0.11272,0.37904,0.59976,0.06888,0.33592,0.16664,0.29216
122,0.26256,0.22864,0.13264,0.09928,0.09616,0.11232,0.5292,0.31296,0.05328,0.39416,0.1724,0.29064
123,0.26296,0.23048,0.1264,0.10192,0.09632,0.11256,0.62648,0.37296,0.08272,0.39432,0.17248,0.29072
124,0.25952,0.23048,0.12648,0.10192,0.09376,0.1148,0.08304,0.52384,0.08272,0.04816,0.17256,0.29088
125,0.25968,0.228,0.13072,0.10656,0.09264,0.11464,0.02848,0.5724,0.25776,0.28304,0.16904,0.28032
126,0.26704,0.2356,0.12792,0.10464,0.09632,0.11144,0.02864,0.5724,0.14424,0.36648,0.16696,0.29368
127,0.26704,0.23088,0.12656,0.10192,0.0964,0.1048,0.15224,0.75192,0.1816,0.2704,0.17248,0.29368
128,0.26024,0.23784,0.13152,0.11032,0.0936,0.11048,0.15232,0.75176,0.32816,0.31784,0.17264,0.29296
129,0.26184,0.23784,0.1312,0.11,0.0936,0.11464,0.1524,0.12352,0.14648,0.10576,0.16952,0.29264
130,0.26104,0.2352,0.13648,0.10872,0.09912,0.10024,0.03952,0.57248,0.39368,0.27648,0.17648,0.2924
131,0.27088,0.23504,0.13112,0.10896,0.09776,0.1004,0.59,0.74656,0.39368,0.31776,0.17168,0.29168
132,0.26464,0.236,0.13128,0.11048,0.09464,0.10056,0.56312,0.09568,0.05016,0.08968,0.17192,0.29104
133,0.26464,0.2364,0.13288,0.10992,0.08768,0.10128,0.24008,0.72128,0.05008,0.0896,0.17184,0.29104
134,0.28296,0.24024,0.13608,0.10728,0.08736,0.10136,0.03992,0.7212,0.25592,0.34584,0.172,0.29088
