sensor,x,y
360,82.4866485596,-392.7258911133
361,83.6740112305,-393.1777954102
362,84.8600540161,-393.6017761230
363,86.0402679443,-393.9967651367
364,87.2107925415,-394.3619689941
365,88.3708572388,-394.6976318359
366,89.5206604004,-395.0042114258
367,90.6603927612,-395.2822570801
368,91.7902603149,-395.5323486328
369,92.9104537964,-395.7550048828
370,94.0211868286,-395.9507446289
371,95.1226348877,-396.1200866699
372,96.2150115967,-396.2635498047
373,97.2985153198,-396.3817443848
374,98.3733367920,-396.4750976562
375,99.4396820068,-396.5441894531
376,100.4977340698,-396.5895080566
377,101.5476913452,-396.6116333008
378,102.5897598267,-396.6110839844
379,103.6241226196,-396.5883178711
380,104.6509857178,-396.5439453125
381,105.6705169678,-396.4784240723
382,106.6829376221,-396.3923339844
383,107.6884078979,-396.2861938477
384,108.6871490479,-396.1604919434
385,109.6793365479,-396.0157470703
386,110.6651535034,-395.8525390625
387,111.6447982788,-395.6713562012
388,112.6184387207,-395.4727172852
389,113.5862808228,-395.2571716309
390,114.5485076904,-395.0252685547
391,115.5052947998,-394.7774658203
392,116.4568328857,-394.5143432617
393,117.4033050537,-394.2364196777
394,118.3448944092,-393.9441833496
395,119.2817840576,-393.6381835938
396,120.2141647339,-393.3190002441
397,121.1421966553,-392.9870605469
398,122.0660934448,-392.6429748535
399,122.9860153198,-392.2872619629
400,123.9021453857,-391.9204101562
401,124.8146743774,-391.5429992676
402,125.7237777710,-391.1554870605
403,126.6296386719,-390.7584838867
404,127.5324478149,-390.3524780273
405,128.4323577881,-389.9379882812
406,129.3296051025,-389.5155944824
407,130.2243347168,-389.0857543945
408,131.1166992188,-388.6490478516
409,132.0069274902,-388.2060241699
410,132.8952178955,-387.7571716309
411,133.7816925049,-387.3030395508
412,134.6665649414,-386.8441162109
413,135.5500488281,-386.3810119629
414,136.4322662354,-385.9141845703
415,137.3134460449,-385.4441833496
416,138.1937103271,-384.9714660645
417,139.0730743408,-384.4961242676
418,139.9514923096,-384.0180664062
419,140.8289184570,-383.5373535156
420,141.7052917480,-383.0539245605
421,142.5805969238,-382.5677795410
422,143.4547729492,-382.0788574219
423,144.3278045654,-381.5871887207
424,145.1996002197,-381.0927429199
425,146.0701751709,-380.5954895020
426,146.9394226074,-380.0954284668
427,147.8073577881,-379.5925292969
428,148.6739196777,-379.0867614746
429,149.5390472412,-378.5781250000
430,150.4027252197,-378.0665893555
431,151.2648925781,-377.5521850586
432,152.1255187988,-377.0348205566
433,152.9845428467,-376.5144958496
434,153.8419342041,-375.9912109375
435,154.6976623535,-375.4649963379
436,155.5516510010,-374.9357299805
437,156.4039001465,-374.4034423828
438,157.2543334961,-373.8681335449
439,158.1029357910,-373.3297729492
440,158.9496459961,-372.7883605957
